profilnummer	bezeichnung	tiefe	ph_wert	carbonat_wert	bodenart	humus_wert	skelett_klasse	dichte_klasse	gefuege1	gefuege1_anteil	gefuege2	ton	schluff	sand
1	Ap1	15	7.13	30	313	5.16	299	20	470	100		17	44	39
1	Ap2	38	7.3	31	313	2.494	399	30	450	100		17	45	38
1	Ap3	55	7.42	42	313	1.204	399	30	450	100		16	41	43
1	C	150	7.75	58	231	0.1548	599	50	399	100		6	41	53
2	Ap1	55	7.3	68	231	3.9	299	20	470	100		11	46	43
2	Ap2	85	7.51	77	231	1.3	399	30	440	100		10	47	43
2	C	160	7.7	90	231	0.36	599	30	399	100		5	33	62
2	Ab	260	7.54	78	231	1.25	399	30	450	100		13	53	34
3	Ap1	15	7.19	11	313	4.82	199	30	450	100		23	52	25
3	Ap2	45	7.39	11	332	1.94	199	50	420	100		24	59	17
3	Abb	90	7.46	22	403	1.05	199	50	420	100		37	54	9
3	Bb	220	7.61	53	423	0.51	199	50	420	100		29	70	1
4	Ap1	55	7.36	38	332	2.53	299	20	450	100		22	55	23
4	Ap2	75	7.46	39	332	2.2	299	30	450	100		22	56	22
4	Bb	160	7.53	22	403	1.3	399	30	450	100		29	54	17
4	BC	305	7.85	64	212	0.34	199	50	420	100		14	73	13
5	Ap1	25	7.37	23	403	2.48	299	20	450	100		25	48	27
5	Ap2	60	7.42	27	313	2.17	299	30	440	100		23	49	28
5	B1	96	7.46	20	313	1.65	399	50	440	100		24	47	29
5	B2	130	7.49	28	313	1.34	399	50	440	100		22	45	33
6	Ap1	16	7.2	26	313	5.93	299	20	450	100		22	45	33
6	Ap2	35	7.22	26	313	3.44	399	30	440	100		23	44	33
6	B	75	7.37	28	313	1.01	499	30	450	100		21	43	36
6	C	135	7.61	57	231	0.5	499	20	399	100		11	44	45
7	Ap1	10	7.22	19	313	3.96	299	20	450	50	470	23	46	31
7	Ap2	32	7.37	15	403	1.84	299	50	440	100		26	46	28
7	B	70	7.44	34	313	0.82	399	50	440	100		22	45	33
7	BC	95	7.59	46	231	0.77	399	30	440	100		14	47	39
7	C	130	7.75	67	231	0.2	399	20	399	100		9	46	45
8	Ap1	20	7.3	12	313	2.56	299	20	450	100		23	45	32
8	Ap2	50	7.39	16	313	1.93	299	30	450	100		23	45	32
8	BC	85	7.53	24	313	1.24	399	30	450	100		22	48	30
8	C	180	7.7	51	231	0.32	399	20	399	100		10	53	37
9	Ap1	30	7.32	20	313	4.44	199	20	450	100		20	44	36
9	Ap2	70	7.46	23	313	2.27	199	20	450	100		22	50	28
9	B	125	7.76	49	332	0.35	199	50	420	100		18	71	11
10	Ap1	32	7.13	14	231	2.22	299	20	450	100		9	31	60
10	Ap2	90	7.46	15	231	0.74	299	30	450	100		9	29	62
10	C	130	7.71	12	231	0.06	299	50	399	100		12	35	53
11	Ap1	20	7.12	6	231	4.04	299	20	450	100		14	35	51
11	B	90	7.39	3	313	0.74	299	30	450	100		17	32	51
12	Ap1	20	7.25	62	313	3.34	399	30	450	50	480	15	43	42
12	C	80	7.51	68	231	1.22	499	20	299	50	480	14	44	42
13	Ap1	30	7.42	7	504	1.28	199	50	440	100		58	38	4
13	Ap2	60	7.59	6	504	0.83	199	50	440	100		54	41	5
13	ApC	85	7.66	6	504	0.63	199	50	440	100		55	40	5
13	C	120	7.76	8	504	0.24	199	60	399	100		68	30	2
14	Ap1	25	5.65	0	231	1.53	199	20	450	100		13	43	44
14	Ap2	77	5.96	0	231	0.62	199	20	450	100		13	45	42
14	B	95	6.16	0	231	0.34	199	30	440	100		13	45	42
14	BC	145	6.37	0	231	0.19	199	30	399	100		8	41	51
14	C	170	6.49	0	121	0.02	199	20	399	100		3	32	65
15	Ap1	25	5.59	0	231	1.98	199	30	450	100		13	43	44
15	Ap2	45	6.06	0	231	0.71	199	30	450	100		14	44	42
15	B1	90	6.18	0	313	0.48	199	30	450	100		15	41	44
15	B2	130	6.5	0	231	0.26	199	30	450	100		10	43	47
15	Bct	170	6.69	0	231	0.21	199	30	440	100		13	38	49
16	Ap1	30	7.14	3	231	2.1	299	20	450	100		6	50	44
16	Ap2	65	7.31	2	231	1.45	299	20	450	100		7	49	44
16	2Ck	130	7.69	5	212	0.2	199	30	399	100		3	58	39
17	Ap1	15	7.17	6	313	3.68	199	20	450	100		17	35	48
17	Ap2	60	7.32	3	313	1.33	199	30	440	50	450	19	36	45
17	B1	110	7.34	1	313	0.35	199	30	440	100		15	46	39
17	B2	150	7.46	2	313	0.38	299	30	440	100		15	46	39
17	BC	170	7.43	1	231	0.26	199	30	399	100		12	53	35
18	Ap1	12	5.72	0	231	1.52	199	20	399	100		5	19	76
18	Ap2	55	6.12	0	231	0.96	199	20	399	100		5	17	78
18	E	115	6.64	0	231	0.2	199	20	399	100		5	19	76
18	Bt1	130	6.74	0	231	0.18	199	20	440	100		8	35	57
18	Bt2	148	6.76	0	231	0.15	199	50	440	100		9	38	53
18	Bct	173	6.74	0	231	0.09	199	50	399	100		5	33	62
18	CB	200	6.88	0	121	0.1	199	20	399	100		3	41	56
19	Ap1	10	5.55	0	231	3.58	199	20	450	100		9	36	55
19	Ap2	72	6.165	0	231	0.87	199	20	450	100		9	36	55
19	Bct	90	6.17	0	121	0.19	199	30	399	100		4	33	63
19	BC	125	6.45	0	231	0.05	199	50	399	100		5	39	56
20	Ap1	20	7.31	17	231	2.99	199	20	399	50	480	6	33	61
20	Ap2	47	7.41	19	231	8.31	199	30	450	100		8	41	51
20	Cg1	75	7.48	20	202	18.75	199	30	450	100		10	76	14
20	Cg2	110	7.7	11	212	2.05	199	30	440	100		8	56	36
21	Ap1	30	7.19	8	313	2.72	199	30	450	100		17	43	40
21	Ap2	60	7.34	1	313	1.49	299	30	450	100		19	39	42
21	Bct	100	7.26	0	313	0.17	299	50	440	100		15	42	43
21	Ct	135	7.41	0	313	0.1	399	30	399	100		15	37	48
22	Ap1	24	6.15	1	231	1.5	199	20	450	100		11	39	50
22	Ap2	60	5.9	0	231	2.51	199	20	450	100		11	39	50
22	Bck	82	7.67	7	231	0.27	199	30	440	100		6	39	55
22	2Ck	115	7.77	6	101	0.15	399	20	399	100		4	27	69
23	Ap1	14	5.95	0	313	3.13	199	20	450	50	470	15	43	42
23	Ap2	43	5.93	0	231	1.6	199	20	450	100		13	40	47
23	Bt1	80	6.14	0	231	0.35	299	20	450	100		10	32	58
23	Bt2	100	6.17	0	231	0.21	299	20	450	100		7	33	60
23	BC	120	6.28	0	231	0.24	299	20	450	100		7	32	61
23	CB	170	6.34	0	101	0.05	299	30	399	100		3	28	69
24	Ap1	15	7.01	2	313	4.87	199	20	450	100		15	34	51
24	Ap2	50	6.88	0	231	2.36	199	20	450	100		13	39	48
24	Ap3	90	6.96	0	231	0.83	199	20	450	100		14	42	44
24	2B	145	6.83	0	231	0.51	199	30	450	100		13	50	37
25	Ap1	35	5.62	0	231	1.68	199	30	450	100		11	41	48
25	Ap2	63	5.93	0	231	1.86	199	30	450	100		12	38	50
25	E	92	6.38	0	231	0.44	199	20	450	100		11	50	39
25	Bt1	115	6.46	0	231	0.3	199	30	440	100		10	53	37
25	Bt2	140	6.58	0	231	0.15	399	30	440	100		9	38	53
26	Ap1	12	5.64	0	231	4.39	199	30	450	100		11	33	56
26	Ap2	48	6.08	0	231	1.06	299	30	450	100		12.5	30	57.5
26	Bct	64	7.15	2	231	0.38	299	30	450	100		14	30	56
26	C	115	7.72	7	231	0.05	299	20	399	100		5	32	63
27	Ap1	20	6.15	0	231	2.67	199	20	450	100		10	30	60
27	Ap2	62	6.21	0	231	1.34	199	30	450	100		10	31	59
27	B	130	6.5	0	231	0.21	299	30	450	100		7	27	66
27	C/B	160	6.69	0	231	0.03	299	30	399	100		5	34	61
28	Ap1	10	6.25	0	313	5.87	199	20	470	100		15	40	45
28	Ap2	25	6.37	0	231	2.27	199	30	450	100		14	37	49
28	Ap3	73	6.83	0	231	1.16	199	30	450	100		13	37	50
28	Bt1	105	6.98	0	231	0.36	199	30	440	100		13	48	39
28	BC	125	7.01	0	231	0.24	399	20	399	100		7	41	52
29	Ap1	17	5.3	0	313	4.35	199	20	450	100		19	43	38
29	Ap2	60	6.4	0	313	2.77	199	30	450	100		18	40	42
29	Ap3	90	6.9	0	313	0.79	199	30	420	100		18	43	39
29	B	130	7.01	0	313	0.62	199	30	420	100		21	48	31
30	Ap1	15	6.04	0	231	4.25	199	20	450	100		11	30	59
30	Ap2	38	6.07	0	231	1.86	299	20	450	100		10	28	62
30	E	65	6.18	0	101	0.17	299	20	299	100		8	9	83
30	2Bt	110	6.19	0	313	0.35	499	20	399	100		18	14	68
31	Ap1	60	6.5	0	231	2.51	299	20	450	100		11	30	59
31	BC	78	7.31	0	231	0.17	299	30	399	100		7	38	55
31	C	115	7.94	1	231	0.04	399	30	399	100		5	34	61
32	Ap	20	7.25	52	231	3.77	399	20	470	100		13	40	47
32	C	50	7.61	61	231	1.02	399	30	480	100		13	38	49
32	Ab1	75	7.56	30	313	2.18	399	30	450	50	480	16	43	41
32	Ab2	90	7.65	56	231	1.31	399	30	480	100		13	37	50
32	C	140	7.84	68	231	0.42	499	60	399	100		12	37	51
33	Ap1	15	6.81	19	332	9.31	199	20	470	100		22	55	23
33	Ap2	35	6.98	20	403	7.02	199	20	470	100		28	53	19
33	B	62	7.44	29	423	1.61	299	30	420	100		28	56	16
33	CB	85	7.58	29	313	0.78	299	50	420	100		24	49	27
33	C	128	7.78	57	231	0.22	299	30	399	100		14	49	37
33	2C	165	7.63	4	231	0.18	199	20	399	100		8	49	43
34	Ap1	12	5.75	0	231	1.89	299	20	440	100		11	40	49
34	Ap2	38	5.42	0	231	0.63	299	30	450	100		12	41	47
34	Bt1	90	5.67	0	231	0.16	499	30	440	100		9	35	56
34	2Bt2	135	5.72	0	231	0.26	599	30	450	50	299	13	16	71
35	Ap1	13	7.31	3	231	1.65	199	30	299	100		5	32	63
35	Ap2	38	7.49	4	231	0.9	199	30	299	100		5	36	59
35	B	85	7.64	3	121	0.42	199	30	450	50	299	4	34	62
35	BC	105	7.83	3	231	0.31	199	30	450	100		5	31	64
35	Cbt	135	7.94	1	101	0.02	199	30	399	100		3	27	70
36	Ap	80	7.46	43	313	1.22	299	30	440	100		24	51	25
36	BC	110	7.64	59	332	0.77	299	30	440	100		19	58	23
37	Ap1	21	6.25	1	231	2.13	299	20	440	100		12	33	55
37	Ap2	47	6.55	1	231	0.96	299	30	440	100		12	30	58
37	Bt1	75	6.75	1	313	0.1	399	30	440	50	399	16	19	65
37	2BC	140	6.9	1	313	0.12	499	30	450	50	399	18	17	65
38	Ap1	32	5.37	0	231	1.72	199	30	450	100		10	35	55
38	Ap2	75	5.08	0	231	0.61	199	30	450	100		10	34	56
38	Bt1	110	5.4	0	231	0.22	299	30	450	100		6	41	53
38	Ct	160	5.72	0	121	0.06	199	30	399	50	299	3	31	66
39	Ap1	17	6.53	1	231	2.2	199	20	450	100		7	17	76
39	Ap2	75	6.96	1	231	0.49	199	20	450	100		5	16	79
39	B/C	160	7.29	1	231	0.31	299	30	450	50	299	6	20	74
40	Ap1	15	7.08	20	231	2.3	299	20	470	100		9	25	66
40	Ap2	50	7.29	19	231	1.42	299	30	450	100		10	28	62
40	C2	85	7.78	30	231	0.15	199	20	399	100		7	40	53
40	C3	120	7.81	37	231	0.14	599	20	299	100		5	26	69
40	C4	160	7.73	33	101	0.01	299	20	299	100		3	11	86
41	Ap1	16	5.39	0	231	2.58	299	20	470	100		13	42	45
41	Ap2	55	4.93	0	231	0.95	299	30	450	100		13	41	46
41	Bt	85	5.1	0	231	0.27	299	30	450	100		11	33	56
41	Bct	115	5.39	0	231	0.14	299	30	450	100		7	29	64
41	Cbt	160	5.67	0	231	0.09	299	30	399	100		7	43	50
42	Ap1	18	6.93	5	403	4.18	299	30	450	100		27	46	27
42	Ap2	40	6.99	2	403	2.53	199	30	450	100		28	45	27
42	B	120	7.11	1	423	0.49	199	30	450	100		25	61	14
42	BC	150	7.62	30	332	0.23	199	30	399	100		15	73	12
43	Ap1	15	6.73	11	231	4.15	199	30	450	100		14	36	50
43	Ap2	53	7.14	9	231	1.18	299	30	450	100		14	38	48
43	2C	110	7.61	4	231	0.17	199	30	399	100		6	45	49
44	Ap1	28	6.81	3	231	1.4	299	20	470	50	299	7	16	77
44	Ap2	65	6.8	4	231	1.89	399	20	299	100		7	18	75
44	C	120	6.99	2	231	0.86	499	30	299	100		8	18	74
45	Ap1	18	5.88	0	231	2.05	199	20	450	100		14	38	48
45	Ap2	50	6.11	0	313	0.85	199	30	450	100		15	38	47
45	Bt	83	6.21	0	313	0.22	299	30	450	100		20	24	56
45	BC	115	6.4	0	231	0.12	299	30	399	50	299	8	22	70
46	Ap1	40	6.05	0	313	4.51	199	30	450	100		19	43	38
46	Ap2	75	6.02	0	313	0.84	199	30	450	100		19	42	39
46	B	130	6.13	0	313	0.4	199	20	450	100		18	45	37
47	Ap1	18	6.23	0	231	2.01	299	30	450	100		13	37	50
47	Ap2	65	6.28	0	231	1.04	299	30	450	100		13	37	50
47	Bt	125	6.53	0	231	0.18	299	30	450	100		11	25	64
47	BC	150	6.61	0	231	0.08	299	30	399	100		6	25	69
48	Ap1	12	5.87	0	231	3.13	299	20	450	50	470	9	24	67
48	Ap2	38	6.5	0	231	2.48	399	30	450	100		9	24	67
48	B	110	6.37	0	101	0.42	499	20	299	100		5	9	86
49	Ap1	12	7.13	5	313	1.51	299	20	450	50	470	16	35	49
49	Ap2	55	7.54	5	313	0.2	299	30	450	100		17	37	46
49	C1	75	7.64	7	231	0.1	499	30	299	100		12	18	70
49	C2	85	7.77	11	403	0.12	299	30	399	100		37	47	16
50	Ap1	28	7.13	36	313	6.3	399	20	450	50	470	21	45	34
50	Ap2	72	7.26	42	313	1.79	499	20	450	100		24	42	34
50	C	100	7.66	88	313	0.58	499	30	450	100		19	50	31
51	Ap1	14	6.9	13	231	3.1	299	20	450	50	470	13	33	54
51	Ap2	36	9.96	11	231	2.25	299	30	450	100		14	32	54
51	B	71	7.44	13	231	0.44	399	20	450	100		10	26	64
51	C1	100	7.71	19	101	0.09	499	20	450	100		4	11	85
51	C2	120	7.64	21	231	0.24	199	30	399	50	299	6	41	53
52	Ap1	15	6.4	0	313	3.47	199	20	450	100		15	36	49
52	Ap2	65	6.53	0	313	1.25	199	30	450	100		17	39	44
52	B	135	6.91	0	313	0.81	199	30	450	100		16	36	48
53	Ap	40	6.98	0	403	3.51	499	20	450	100		34	53	13
53	B	130	6.9	0	423	0.88	499	30	450	100		35	55	10
54	Ap	40	7.08	35	313	4.49	199	30	480	100		19	50	31
54	B	90	7.39	24	332	2.73	199	30	450	100		24	56	20
54	2C	150	7.57	34	231	0.52	399	30	299	100		7	18	75
55	Ap1	20	5.75	0	231	1.81	299	10	450	50	299	8	20	72
55	Ap2	65	5.85	0	231	0.38	499	10	450	50	299	7	19	74
55	B	125	5.82	0	231	0.15	399	10	450	50	299	7	16	77
56	Ap	55	6.81	5	231	2.51	299	30	450	100		14	28	58
56	BC	110	7.38	10	231	0.5	399	20	450	100		10	23	67
57	Ap	52	7.34	36	231	4.28	299	30	450	100		12	30	58
57	C	125	7.74	38	101	0.2	499	30	450	100		4	26	70
58	Ap	60	5.8	0	231	2	299	30	450	100		14	38	48
58	Bt	100	6.17	0	231	0.18	499	20	450	100		10	25	65
58	C	125	6.3	0	231	0.1	399	30	399	100		14	35	51
59	Ap1	50	7.24	20	313	4.06	199	30	450	100		20	47	33
59	Ap2	75	7.57	24	231	0.87	299	30	450	100		12	31	57
59	C	105	7.86	35	101	0.07	299	20	299	100		3	17	80
