profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	textur	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	zerdürckbar	gefuege1_anteil	gefuege2	T	U	fS	S	ton	schluff	sand	SohnefS
1	Ap1	15	7.13	NA	30	313	sL - sandiger Lehm	NA	5.16	NA	299	mittel steinig	20	locker	470	Krümel	ja	Fein-mittel	-		100		17	40	11	43	17	44	39	32
1	Ap2	38	7.3	NA	31	313	sL - sandiger Lehm	NA	2.494	NA	399	stark steinig	30	mittel	450	Subpolyeder	ja	Mittel-grob	-		100		17	41	11	42	17	45	38	31
1	Ap3	55	7.42	NA	42	313	sL - sandiger Lehm	NA	1.204	NA	399	stark steinig	30	mittel	450	Subpolyeder	-	Mittel-grob	-		100		16	37	11	47	16	41	43	36
1	C	150	7.75	NA	58	231	lS - lehmiger Sand	NA	0.1548	NA	599	skelettboden	50	dicht	399	Kohärentgefüge	-	-	-		100		6	36	14	58	6	41	53	44
2	Ap1	55	7.3	NA	68	231	lS - lehmiger Sand	NA	3.9	NA	299	mittel steinig	20	locker	470	Krümel	ja	Mittel-fein	mäßig		100		11	43	10	46	11	46	43	36
2	Ap2	85	7.51	NA	77	231	lS - lehmiger Sand	NA	1.3	NA	399	stark steinig	30	mittel	440	Polyeder	ja	Mittel-grob	schwach		100		10	44	10	46	10	47	43	36
2	C	160	7.7	NA	90	231	lS - lehmiger Sand	NA	0.36	NA	599	skelettboden	30	mittel	399	Kohärentgefüge	ja	-	-		100		5	29	11	66	5	33	62	55
2	Ab	260	7.54	NA	78	231	lS - lehmiger Sand	NA	1.25	NA	399	stark steinig	30	mittel	450	Subpolyeder	ja	mittel	mäßig		100		13	49	12	38	13	53	34	26
3	Y	15	7.41	NA	35	332	lU - lehmiger Schluff	NA	1.17	NA	NA		30	mittel	NA						100		15	55	10	30	15	58	27	20
3	Ap1	30	7.19	NA	11	313	sL - sandiger Lehm	NA	4.82	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	mittel	deutlich		100		23	48	13	29	23	52	25	16
3	Ap2	60	7.39	NA	11	332	lU - lehmiger Schluff	NA	1.94	NA	199	Sehr geringer Grobanteil	50	dicht	420	Prismen	ja	Mittel-grob	deutlich		100		24	55	11	21	24	59	17	10
3	Abb	105	7.46	NA	22	403	L - Lehm	NA	1.05	NA	199	Sehr geringer Grobanteil	50	dicht	420	Prismen	ja	Grob-sehr grob	deutlich		100		37	52	5	11	37	54	9	6
3	Bb	220	7.61	NA	53	423	uL - schluffiger Lehm	NA	0.51	NA	199	Sehr geringer Grobanteil	50	dicht	420	Prismen	ja	Grob-sehr grob	deutlich		100		29	70	0	1	29	70	1	1
4	Ap1	55	7.36	NA	38	332	lU - lehmiger Schluff	NA	2.53	NA	299	Gering-mäßgier Grobanteil	20	locker	450	Subpolyeder	ja	Fein-mittel	schwach		100		22	51	12	27	22	55	23	15
4	Ap2	75	7.46	NA	39	332	lU - lehmiger Schluff	NA	2.2	NA	299	Gering-mäßgier Grobanteil	30	mittel	450	Subpolyeder	ja	grob	deutlich		100		22	52	11	26	22	56	22	15
4	Bb	160	7.53	NA	22	403	L - Lehm	NA	1.3	NA	399	stark steinig	30	mittel	450	Subpolyeder	ja	Grob-fein	deutlich		100		29	50	12	21	29	54	17	9
4	BC	305	7.85	NA	64	212	sU - sandiger Schluff	NA	0.34	NA	199	Sehr geringer Grobanteil	50	dicht	420	Prismen	-	grob	schwach		100		14	69	11	17	14	73	13	6
5	Ap1	25	7.37	NA	23	403	L - Lehm	NA	2.48	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-fein	mäßig	leicht	100		25	43	14	32	25	48	27	18
5	Ap2	60	7.42	NA	27	313	sL - sandiger Lehm	NA	2.17	NA	299	mittlerer Grobanteil	30	mittel	440	Polyeder	ja	Mittel-grob	deutlich	leicht	100		23	45	11	32	23	49	28	21
5	B1	96	7.46	NA	20	313	sL - sandiger Lehm	NA	1.65	NA	399	stark steinig	50	dicht	440	Polyeder	-	grob	deutlich	Mäßig-leicht	100		24	42	15	34	24	47	29	19
5	B2	130	7.49	NA	28	313	sL - sandiger Lehm	NA	1.34	NA	399	stark steinig	50	dicht	440	Polyeder	-	grob	deutlich		100		22	41	13	37	22	45	33	24
6	Ap1	16	7.2	NA	26	313	sL - sandiger Lehm	NA	5.93	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-fein	deutlich	leicht	100		22	41	13	37	22	45	33	24
6	Ap2	35	7.22	NA	26	313	sL - sandiger Lehm	NA	3.44	NA	399	stark steinig	30	mittel	440	Polyeder	ja	grob	deutlich	leicht	100		23	40	13	37	23	44	33	24
6	B	75	7.37	NA	28	313	sL - sandiger Lehm	NA	1.01	NA	499	sehr stark steinig	30	mittel	450	Subpolyeder	ja	mittel	schwach	leicht	100		21	39	13	40	21	43	36	27
6	C	135	7.61	NA	57	231	lS - lehmiger Sand	NA	0.5	NA	499	sehr stark steinig	20	locker	399	Kohärentgefüge	ja	-	-	sehr leicht	100		11	37	22	52	11	44	45	30
7	Ap1	10	7.22	NA	19	313	sL - sandiger Lehm	NA	3.96	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder und Krümel	-	fein	deutlich	leicht	50	470	23	41	14	36	23	46	31	22
7	Ap2	32	7.37	NA	15	403	L - Lehm	NA	1.84	NA	299	mittlerer Grobanteil	50	dicht	440	Polyeder	-	grob	mäßig	Mäßig-leicht	100		26	41	14	33	26	46	28	19
7	B	70	7.44	NA	34	313	sL - sandiger Lehm	NA	0.82	NA	399	stark steinig	50	dicht	440	Polyeder	-	mittelgroß	deutlich	Mäßig-leicht	100		22	41	13	37	22	45	33	24
7	BC	95	7.59	NA	46	231	lS - lehmiger Sand	NA	0.77	NA	399	stark steinig	30	mittel	440	Polyeder	-	Grob-mittel	mäßig	leicht	100		14	43	11	43	14	47	39	32
7	C	130	7.75	NA	67	231	lS - lehmiger Sand	NA	0.2	NA	399	stark steinig	20	locker	399	Kohärentgefüge	-	leicht zerdrückbar		sehr leicht	100		9	42	13	49	9	46	45	36
8	Ap1	20	7.3	NA	12	313	sL - sandiger Lehm	NA	2.56	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-fein	mittel	leicht	100		23	40	16	37	23	45	32	21
8	Ap2	50	7.39	NA	16	313	sL - sandiger Lehm	NA	1.93	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Grob-mittel	mittel	leicht	100		23	40	16	37	23	45	32	21
8	BC	85	7.53	NA	24	313	sL - sandiger Lehm	NA	1.24	NA	399	stark steinig	30	mittel	450	Subpolyeder	ja	Grob-mittel	schwach	leicht	100		22	43	14	35	22	48	30	21
8	C	180	7.7	NA	51	231	lS - lehmiger Sand	NA	0.32	NA	399	stark steinig	20	locker	399	Kohärentgefüge	ja	-	-	sehr leicht	100		10	48	14	42	10	53	37	28
9	Ap1	30	7.32	NA	20	313	sL - sandiger Lehm	NA	4.44	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	feinporös	Fein-mittel	deutlich	leicht	100		20	40	13	40	20	44	36	27
9	Ap2	70	7.46	NA	23	313	sL - sandiger Lehm	NA	2.27	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	feinporös	Fein-mittel	stark	leicht	100		22	47	10	31	22	50	28	21
9	B	125	7.76	NA	49	332	lU - lehmiger Schluff	NA	0.35	NA	199	Sehr geringer Grobanteil	50	dicht	420	Prismen	feinporös	mittel	mittel	Mäßig-schwer	100		18	68	7	14	18	71	11	7
10	Ap1	32	7.13	NA	14	231	lS - lehmiger Sand	NA	2.22	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder	ja	Fein-mittel	schwach	leicht	100		9	26	14	65	9	31	60	51
10	Ap2	90	7.46	NA	15	231	lS - lehmiger Sand	NA	0.74	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	grob	schwach	leicht	100		9	26	10	65	9	29	62	55
10	C	130	7.71	NA	12	231	lS - lehmiger Sand	NA	0.06	NA	299	mittlerer Grobanteil	50	dicht	399	Kohärentgefüge	-	-	-	Mäßig-schwer	100		12	31	11	57	12	35	53	46
11	Ap1	20	7.12	NA	6	231	lS - lehmiger Sand	NA	4.04	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder		Mittel-fein	schwach	leicht	100		14	30	16	56	14	35	51	40
11	B	90	7.39	NA	3	313	sL - sandiger Lehm	NA	0.74	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder		Mittel-grob	schwach	leicht	100		17	26	18	57	17	32	51	39
12	Ap1	20	7.25	NA	62	313	sL - sandiger Lehm	NA	3.34	NA	399	stark steinig	30	mittel	450	Subpolyeder und Bröckel	ja	Mittel-fein	schwach	sehr leicht	50	480	15	39	12	46	15	43	42	34
12	C	80	7.51	NA	68	231	lS - lehmiger Sand	NA	1.22	NA	499	sehr stark steinig	20	locker	299	Einzelkorn und Bröckel	ja	leicht zerdrückbar	-	sehr leicht	50	480	14	40	13	46	14	44	42	33
13	Ap1	30	7.42	NA	7	504	T - Ton	NA	1.28	NA	199	Sehr geringer Grobanteil	50	dicht	440	Polyeder	-	grob bis sehr grob	mittel	schwer	100		58	36	5	6	58	38	4	1
13	Ap2	60	7.59	NA	6	504	T - Ton	NA	0.83	NA	199	Sehr geringer Grobanteil	50	dicht	440	Polyeder	-	sehr grob	mittel	schwer	100		54	41	0	5	54	41	5	5
13	ApC	85	7.66	NA	6	504	T - Ton	NA	0.63	NA	199	Sehr geringer Grobanteil	50	dicht	440	Polyeder	-	sehr grob	schwach	schwer	100		55	40	1	5	55	40	5	4
13	C	120	7.76	NA	8	504	T - Ton	NA	0.24	NA	199	Sehr geringer Grobanteil	60	sehr dicht	399	Kohärentgefüge	-	plattig	-	sehr schwer	100		68	30	1	2	68	30	2	1
14	Ap1	25	5.65	NA	0	231	lS - lehmiger Sand	NA	1.53	NA	199	Sehr geringer Grobanteil	20	locker	450	Subpolyeder	-	Mittel-grob	schwach	sehr leicht	100		13	36	20	51	13	43	44	31
14	Ap2	77	5.96	NA	0	231	lS - lehmiger Sand	NA	0.62	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	-	Mittel-grob	schwach	sehr leicht	100		13	37	23	50	13	45	42	27
14	B	95	6.16	NA	0	231	lS - lehmiger Sand	NA	0.34	NA	199	Sehr geringer Grobanteil	30	mittel	440	Polyeder	-	Grob-mittel	sehr schwach	sehr leicht	100		13	38	22	49	13	45	42	27
14	BC	145	6.37	NA	0	231	lS - lehmiger Sand	NA	0.19	NA	199	Sehr geringer Grobanteil	30	mittel	399	Kohärentgefüge	-	leicht zerdrückbar	-	leicht	100		8	32	27	60	8	41	51	33
14	C	170	6.49	NA	0	121	uS - schluffiger Sand	NA	0.02	NA	199	Sehr geringer Grobanteil	20	locker	399	Kohärentgefüge	-	sehr leicht zerdrückbar	-	sehr leicht	100		3	22	30	75	3	32	65	45
15	Ap1	25	5.59	NA	0	231	lS - lehmiger Sand	NA	1.98	NA	199	Sehr geringer Grobanteil	30	mittel	450	Subpolyeder	-	grob	schwach	leicht	100		13	36	20	51	13	43	44	31
15	Ap2	45	6.06	NA	0	231	lS - lehmiger Sand	NA	0.71	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	Grob-mittel	mittel	leicht	100		14	37	22	49	14	44	42	27
15	B1	90	6.18	NA	0	313	sL - sandiger Lehm	NA	0.48	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	Grob-mittel	mittel	leicht	100		15	33	23	52	15	41	44	29
15	B2	130	6.5	NA	0	231	lS - lehmiger Sand	NA	0.26	NA	199	Sehr geringer Grobanteil	30	mittel	450	Subpolyeder	-	grob	schwach	leicht	100		10	35	24	55	10	43	47	31
15	Bct	170	6.69	NA	0	231	lS - lehmiger Sand	NA	0.21	NA	199	Sehr geringer Grobanteil	30	mittel	440	Polyeder	-	sehr grob	schwach	leicht	100		13	29	27	58	13	38	49	31
16	Ap1	30	7.14	NA	3	231	lS - lehmiger Sand	NA	2.1	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder	ja	Grob-mittel	schwach	sehr leicht	100		6	27	67	67	6	50	44	0
16	Ap2	65	7.31	NA	2	231	lS - lehmiger Sand	NA	1.45	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder	-	Mittel-grob	schwach	sehr leicht	100		7	26	67	67	7	49	44	0
16	2Ck	130	7.69	NA	5	212	sU - sandiger Schluff	NA	0.2	NA	199	geringer Grobanteil	30	mittel	399	Kohärentgefüge	-	leicht zerdrückbar		leicht	100		3	38	59	59	3	58	39	0
17	Ap1	15	7.17	NA	6	313	sL - sandiger Lehm	NA	3.68	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	Fein-mittel	schwach	leicht	100		17	30	14	53	17	35	48	39
17	Ap2	60	7.32	NA	3	313	sL - sandiger Lehm	NA	1.33	NA	199	geringer Grobanteil	30	mittel	440	Polyeder und subpolyeder	ja	Grobe-feine	mittel	leicht	50		19	31	14	50	19	36	45	36
17	B1	110	7.34	NA	1	313	sL - sandiger Lehm	NA	0.35	NA	199	geringer Grobanteil	30	mittel	440	Polyeder	ja	sehr grob	mittel	leicht	100		15	40	19	45	15	46	39	26
17	B2	150	7.46	NA	2	313	sL - sandiger Lehm	NA	0.38	NA	299	mittlerer Grobanteil	30	mittel	440	Polyeder	-	grob	schwach	leicht	100		15	39	20	46	15	46	39	26
17	BC	170	7.43	NA	1	231	lS - lehmiger Sand	NA	0.26	NA	199	geringer Grobanteil	30	mittel	399	Kohärentgefüge	-	leicht zerdrückbar		leicht	100		12	45	23	43	12	53	35	20
18	Ap1	12	5.72	NA	0	231	lS - lehmiger Sand	NA	1.52	NA	199	Sehr geringer Grobanteil	20	locker	399	Kohärentgefüge	-	sehr leicht zerdrückbar		sehr leicht	100		5	13	18	82	5	19	76	64
18	Ap2	55	6.12	NA	0	231	lS - lehmiger Sand	NA	0.96	NA	199	Sehr geringer Grobanteil	20	locker	399	Kohärentgefüge	-	sehr leicht zerdrückbar		sehr leicht	100		5	12	17	83	5	17	78	66
18	E	115	6.64	NA	0	231	lS - lehmiger Sand	NA	0.2	NA	199	Sehr geringer Grobanteil	20	locker	399	Kohärentgefüge	-	sehr leicht zerdrückbar		sehr leicht	100		5	12	21	83	5	19	76	62
18	Bt1	130	6.74	NA	0	231	lS - lehmiger Sand	NA	0.18	NA	199	Sehr geringer Grobanteil	20	locker	440	Polyeder	-	Mittel-grob	schwach	sehr leicht	100		8	26	26	66	8	35	57	40
18	Bt2	148	6.76	NA	0	231	lS - lehmiger Sand	NA	0.15	NA	199	Sehr geringer Grobanteil	50	dicht	440	Polyeder	-	Mittel-grob	mäßig	leicht	100		9	27	32	64	9	38	53	32
18	Bct	173	6.74	NA	0	231	lS - lehmiger Sand	NA	0.09	NA	199	Sehr geringer Grobanteil	50	dicht	399	Kohärentgefüge	-	sehr leicht zerdrückbar		sehr leicht	100		5	21	36	74	5	33	62	38
18	CB	200	6.88	NA	0	121	uS - schluffiger Sand	NA	0.1	NA	199	Sehr geringer Grobanteil	20	locker	399	Kohärentgefüge	-	zerfallend		zerfallend	100		3	31	31	66	3	41	56	35
19	Ap1	10	5.55	NA	0	231	lS - lehmiger Sand	NA	3.58	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	-	Fein-mittel	schwach	leicht	100		9	31	14	60	9	36	55	46
19	Ap2	72	6.165	NA	0	231	lS - lehmiger Sand	NA	0.87	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	-	Fein-grob	schwach	leicht	100		9	31	16	60	9	36	55	44
19	Bct	90	6.17	NA	0	121	uS - schluffiger Sand	NA	0.19	NA	199	geringer Grobanteil	30	mittel	399	Kohärentgefüge	-	mäßig leicht zerdrückbar		Mäßig-leicht	100		4	27	17	69	4	33	63	52
19	BC	125	6.45	NA	0	231	lS - lehmiger Sand	NA	0.05	NA	199	geringer Grobanteil	50	dicht	399	Kohärentgefüge	-	mäßig schwer zerdrückbar		Mäßig-schwer	100		5	34	15	61	5	39	56	46
20	Ap1	20	7.31	NA	17	231	lS - lehmiger Sand	NA	2.99	NA	199	geringer Grobanteil	20	locker	399	Kohärent und Bröckel	-	leicht zerdrückbar		leicht	50		6	26	20	68	6	33	61	48
20	Ap2	47	7.41	NA	19	231	lS - lehmiger Sand	NA	8.31	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	mäßig	leicht	100		8	38	10	54	8	41	51	44
20	Cg1	75	7.48	NA	20	202	U - Schluff	NA	18.75	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	mäßig	sehr leicht	100		10	74	6	16	10	76	14	10
20	Cg2	110	7.7	NA	11	212	sU - sandiger Schluff	NA	2.05	NA	199	geringer Grobanteil	30	mittel	440	Polyeder		grob	mäßig	sehr leicht	100		8	45	32	47	8	56	36	15
21	Ap1	30	7.19	NA	8	313	sL - sandiger Lehm	NA	2.72	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		17	39	12	44	17	43	40	32
21	Ap2	60	7.34	NA	1	313	sL - sandiger Lehm	NA	1.49	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		19	35	12	46	19	39	42	34
21	Bct	100	7.26	NA	0	313	sL - sandiger Lehm	NA	0.17	NA	299	mittlerer Grobanteil	50	dicht	440	Polyeder	-	grob	mittel	Mäßig-schwer	100		15	39	9	46	15	42	43	37
21	Ct	135	7.41	NA	0	313	sL - sandiger Lehm	NA	0.1	NA	399	starker grobanteil	30	mittel	399	Kohärentgefüge	-			leicht	100		15	34	10	51	15	37	48	41
22	Ap1	24	6.15	NA	1	231	lS - lehmiger Sand	NA	1.5	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	mittel	schwach	leicht	100		11	34	14	55	11	39	50	41
22	Ap2	60	5.9	NA	0	231	lS - lehmiger Sand	NA	2.51	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	mittel	schwach	sehr leicht	100		11	35	13	54	11	39	50	41
22	Bck	82	7.67	NA	7	231	lS - lehmiger Sand	NA	0.27	NA	199	geringer Grobanteil	30	mittel	440	Polyeder	-	Mittel-grob	mäßig	leicht	100		6	34	14	60	6	39	55	46
22	2Ck	115	7.77	NA	6	101	S - Sand	NA	0.15	NA	399	starker grobanteil	20	locker	399	Kohärentgefüge	-			sehr leicht	100		4	24	11	72	4	27	69	61
23	Ap1	14	5.95	NA	0	313	sL - sandiger Lehm	NA	3.13	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder und Krümel	-			leicht	50	470	15	39	13	46	15	43	42	33
23	Ap2	43	5.93	NA	0	231	lS - lehmiger Sand	NA	1.6	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder		Mittel-fein	mäßig	leicht	100		13	34	17	53	13	40	47	36
23	Bt1	80	6.14	NA	0	231	lS - lehmiger Sand	NA	0.35	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder		Mittel-fein	mäßig	leicht	100		10	28	13	62	10	32	58	49
23	Bt2	100	6.17	NA	0	231	lS - lehmiger Sand	NA	0.21	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder		Mittel-grob	schwach	sehr leicht	100		7	29	13	64	7	33	60	51
23	BC	120	6.28	NA	0	231	lS - lehmiger Sand	NA	0.24	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder		Mittel-grob	schwach	sehr leicht	100		7	27	14	66	7	32	61	52
23	CB	170	6.34	NA	0	101	S - Sand	NA	0.05	NA	299	mittlerer Grobanteil	30	mittel	399	Kohärentgefüge				leicht	100		3	23	16	74	3	28	69	58
24	Ap1	15	7.01	NA	2	313	sL - sandiger Lehm	NA	4.87	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-grob	mittel	leicht	100		15	29	16	56	15	34	51	40
24	Ap2	50	6.88	NA	0	231	lS - lehmiger Sand	NA	2.36	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-grob	mittel	sehr leicht	100		13	34	15	53	13	39	48	38
24	Ap3	90	6.96	NA	0	231	lS - lehmiger Sand	NA	0.83	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	-	Mittel-grob	mittel	sehr leicht	100		14	36	17	50	14	42	44	33
24	2B	145	6.83	NA	0	231	lS - lehmiger Sand	NA	0.51	NA	199	Sehr geringer Grobanteil	30	mittel	450	Subpolyeder	-	Mittel-grob	mittel	leicht	100		13	43	20	44	13	50	37	24
25	Ap1	35	5.62	NA	0	231	lS - lehmiger Sand	NA	1.68	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		11	34	20	55	11	41	48	35
25	Ap2	63	5.93	NA	0	231	lS - lehmiger Sand	NA	1.86	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	mittel	schwach	sehr leicht	100		12	32	19	56	12	38	50	37
25	E	92	6.38	NA	0	231	lS - lehmiger Sand	NA	0.44	NA	199	Sehr geringer Grobanteil	20	locker	450	Subpolyeder	-	Mittel-grob	schwach	sehr leicht	100		11	42	25	47	11	50	39	22
25	Bt1	115	6.46	NA	0	231	lS - lehmiger Sand	NA	0.3	NA	199	Sehr geringer Grobanteil	30	mittel	440	Polyeder	-	Mittel-grob	mittel	sehr leicht	100		10	44	26	46	10	53	37	20
25	Bt2	140	6.58	NA	0	231	lS - lehmiger Sand	NA	0.15	NA	399	starker grobanteil	30	mittel	440	Polyeder	-	Mittel-grob	schwach	leicht	100		9	32	19	59	9	38	53	40
26	Ap1	12	5.64	NA	0	231	lS - lehmiger Sand	NA	4.39	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	mäßig	leicht	100		11	29	11	60	11	33	56	49
26	Ap2	48	6.08	NA	0	231	lS - lehmiger Sand	NA	1.06	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	mäßig	leicht	100		12.5	25.5	12.5	62	12.5	30	57.5	49.5
26	Bct	64	7.15	NA	2	231	lS - lehmiger Sand	NA	0.38	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	mittel	leicht	100		14	25	14	61	14	30	56	47
26	C	115	7.72	NA	7	231	lS - lehmiger Sand	NA	0.05	NA	299	mittlerer Grobanteil	20	locker	399	Kohärentgefüge	-	-	-	sehr leicht	100		5	28	12	67	5	32	63	55
27	Ap1	20	6.15	NA	0	231	lS - lehmiger Sand	NA	2.67	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	mittel	schwach	leicht	100		10	25	15	65	10	30	60	50
27	Ap2	62	6.21	NA	0	231	lS - lehmiger Sand	NA	1.34	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	schwach	leicht	100		10	28	10	62	10	31	59	52
27	B	130	6.5	NA	0	231	lS - lehmiger Sand	NA	0.21	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	-	Mittel-grob	schwach	leicht	100		7	22	14	71	7	27	66	57
27	C/B	160	6.69	NA	0	231	lS - lehmiger Sand	NA	0.03	NA	299	mittlerer Grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		5	30	12	65	5	34	61	53
